COUNTRY|TOTAL_CASES|NEW_CASES|TOTAL_DEATHS|NEW_DEATHS|TOTAL_RECOVERED|ACTIVE_CASES
USA|33,664,013||599,314||26,712,821|6,351,878
India|24,372,907|+664|266,229||20,432,898|3,673,780
Brazil|15,521,313||432,785||14,028,355|1,060,173
France|5,848,154||107,423||5,042,411|698,320
Turkey|5,095,390||44,301||4,894,024|157,065
Russia|4,922,901||115,116||4,537,634|270,151
UK|4,446,824||127,668||4,273,441|45,715
Italy|4,146,722||123,927||3,683,189|339,606
Spain|3,604,799||79,339||3,297,340|228,120
Germany|3,585,891||86,481||3,259,000|240,410
Argentina|3,269,466||69,853||2,913,144|286,469
Colombia|3,084,460||80,250||2,888,990|115,220
Poland|2,849,014||71,311||2,589,277|188,426
Iran|2,732,152||76,433||2,196,197|459,522
Mexico|2,377,995|+2,880|220,159|+258|1,897,587|260,249
Ukraine|2,143,448||47,620||1,832,601|263,227
Peru|1,879,049||65,608||1,720,665|92,776
Indonesia|1,734,285||47,823||1,592,886|93,576
Czechia|1,651,178||29,857||1,588,346|32,975
South Africa|1,608,393||55,124||1,522,165|31,104
Netherlands|1,589,282||17,423||1,351,988|219,871
Canada|1,318,405||24,869||1,220,110|73,426
Chile|1,273,516||27,647||1,208,396|37,473
Iraq|1,134,859||15,910||1,034,396|84,553
Philippines|1,131,467||18,958||1,053,523|58,986
Romania|1,070,605||29,413||1,022,029|19,163
Sweden|1,037,126||14,275||878,153|144,698
Belgium|1,028,104|+1,631|24,664|+19|905,973|97,467
Pakistan|873,220||19,384||780,438|73,398
Portugal|841,379||16,999||802,285|22,095
Israel|839,079||6,380||831,950|749
Hungary|796,390||29,041||608,891|158,458
Bangladesh|779,535||12,102||720,471|46,962
Jordan|723,069||9,224||710,445|3,400
Serbia|705,185||6,646||673,038|25,501
Switzerland|679,510||10,730||617,283|51,497
Japan|665,547||11,255||579,446|74,846
Austria|635,780||10,455||612,523|12,802
UAE|543,610||1,626||523,778|18,206
Lebanon|534,968||7,569||492,270|35,129
Morocco|514,705||9,092||502,604|3,009
Malaysia|462,190||1,822||418,897|41,471
Nepal|439,658||4,669||327,653|107,336
Saudi Arabia|431,432||7,134||415,747|8,551
Bulgaria|413,838||17,243||361,993|34,602
Ecuador|407,002||19,514||342,878|44,610
Slovakia|387,162||12,168||370,043|4,951
Greece|373,881||11,322||335,156|27,403
Belarus|373,351||2,681||363,873|6,797
Panama|370,043||6,292||358,670|5,081
Kazakhstan|355,645|+2,505|4,039|+22|312,837|38,769
Croatia|349,084||7,664||334,206|7,214
Azerbaijan|328,994||4,754||312,460|11,780
Georgia|327,831||4,397||307,334|16,100
Bolivia|327,224||13,409||267,973|45,842
Tunisia|325,280||11,727||286,230|27,323
Paraguay|309,638||7,482||256,345|45,811
Palestine|303,270||3,401||288,891|10,978
Kuwait|290,006||1,681||275,745|12,580
Costa Rica|282,741||3,547||221,903|57,291
Dominican Republic|275,378||3,565||232,925|38,888
Ethiopia|265,413||3,964||217,370|44,079
Denmark|264,465||2,499||249,487|12,479
Lithuania|263,475||4,084||237,431|21,960
Ireland|254,870||4,941||237,164|12,765
Moldova|253,567||6,006||244,487|3,074
Slovenia|248,520||4,314||236,049|8,157
Egypt|243,317||14,206||179,817|49,294
Guatemala|240,170||7,845||219,456|12,869
Uruguay|235,206||3,369||204,051|27,786
Honduras|225,256|+1,334|5,937|+39|82,549|136,770
Armenia|220,447||4,301||207,464|8,682
Venezuela|212,998||2,366||196,759|13,873
Qatar|212,667||524||205,750|6,393
Oman|202,713||2,148||186,391|14,174
Bosnia and Herzegovina|202,143||8,981||168,549|24,613
Bahrain|197,474||732||181,237|15,505
Libya|181,179||3,085||167,629|10,465
Nigeria|165,661||2,066||156,399|7,196
Kenya|165,112||2,976||113,432|48,704
North Macedonia|154,524||5,184||143,427|5,913
Myanmar|143,035||3,212||132,072|7,751
Sri Lanka|138,085||923||110,108|27,054
Albania|131,939||2,427||122,105|7,407
S. Korea|131,061|+681|1,896|+3|121,282|7,883
Latvia|127,053||2,248||115,670|9,135
Estonia|126,642||1,217||118,008|7,417
Algeria|125,059||3,360||87,137|34,562
Cuba|121,838||785||114,544|6,509
Norway|118,740||774||88,952|29,014
Kyrgyzstan|99,845||1,687||92,953|5,205
Montenegro|98,703||1,556||95,676|1,471
Uzbekistan|96,117||667||91,507|3,943
Thailand|96,050||548||62,316|33,186
Ghana|93,243||783||91,146|1,314
Zambia|92,356||1,260||90,699|397
China|90,829|+14|4,636||85,914|279
Finland|89,686||931||46,000|42,755
Cameroon|74,946||1,152||70,497|3,297
El Salvador|70,915||2,178||66,418|2,319
Cyprus|70,742||346||39,061|31,335
Mozambique|70,361||826||68,487|1,048
Luxembourg|68,922||806||66,183|1,933
Afghanistan|63,412||2,733||54,634|6,045
Singapore|61,505||31||61,047|427
Namibia|50,733||704||47,776|2,253
Botswana|49,656||761||46,640|2,255
Mongolia|48,101|+553|205|+5|39,564|8,332
Jamaica|47,150||838||22,895|23,417
Ivory Coast|46,535||295||46,006|234
Maldives|42,775||92||27,672|15,011
Uganda|42,674||347||41,971|356
Senegal|40,806||1,122||39,529|155
Madagascar|39,888||748||37,431|1,709
Zimbabwe|38,535||1,582||36,308|645
Sudan|34,272||2,446||27,949|3,877
Malawi|34,200||1,153||32,176|871
DRC|30,511||775||26,601|3,135
Malta|30,474||417||29,877|180
Angola|30,030||651||25,650|3,729
Australia|29,962|+5|910||28,861|191
Cabo Verde|27,672||244||24,546|2,882
Rwanda|26,033||343||24,592|1,098
Gabon|23,799||143||20,379|3,277
Syria|23,645||1,688||20,197|1,760
Guinea|22,746||151||20,366|2,229
Réunion|22,644||169||21,603|872
Cambodia|21,499||147||9,867|11,485
French Guiana|21,465||108||9,995|11,362
Mayotte|20,176||171||2,964|17,041
French Polynesia|18,815||141||18,650|24
Mauritania|18,781||457||18,024|300
Eswatini|18,511||671||17,793|47
Guadeloupe|16,017||221||2,242|13,554
Trinidad and Tobago|15,379||265||9,900|5,214
Guyana|14,988||335||12,834|1,819
Somalia|14,486||753||6,325|7,408
Mali|14,163||510||9,157|4,496
Papua New Guinea|13,707||136||11,034|2,537
Andorra|13,510||127||13,155|228
Burkina Faso|13,394||164||13,194|36
Haiti|13,353||271||12,414|668
Tajikistan|13,308||90||13,218|0
Togo|13,244||125||11,847|1,272
Belize|12,714||323||12,337|54
Curaçao|12,246||119||12,059|68
Hong Kong|11,819||210||11,516|93
Martinique|11,736||90||98|11,548
Suriname|11,707||223||10,112|1,372
Djibouti|11,402||151||11,241|10
Congo|11,343||148||8,208|2,987
Bahamas|11,024||216||9,967|841
Aruba|10,838||104||10,639|95
Lesotho|10,778||320||6,427|4,031
South Sudan|10,651||115||10,462|74
Seychelles|9,184||32||6,413|2,739
Benin|7,995||101||7,652|242
Equatorial Guinea|7,694||112||7,279|303
Nicaragua|7,086||184||4,225|2,677
CAR|6,866||95||5,112|1,659
Iceland|6,537||29||6,445|63
Yemen|6,523||1,285||3,008|2,230
Gambia|5,940||175||5,674|91
Niger|5,326||192||4,936|198
San Marino|5,083||90||4,968|25
Chad|4,897||173||4,677|47
Saint Lucia|4,788||75||4,511|202
Gibraltar|4,286||94||4,189|3
Burundi|4,282||6||773|3,503
Timor-Leste|4,118||8||2,146|1,964
Sierra Leone|4,103||79||3,101|923
Channel Islands|4,057||86||3,956|15
Barbados|3,961||46||3,900|15
Comoros|3,860||146||3,688|26
Eritrea|3,822||12||3,639|171
Vietnam|3,816||35||2,657|1,124
Guinea-Bissau|3,745||67||3,427|251
Liechtenstein|2,981||58||2,887|36
New Zealand|2,645||26||2,601|18
Monaco|2,490||32||2,428|30
Bermuda|2,462||32||2,234|196
Turks and Caicos|2,404||17||2,365|22
Sao Tome and Principe|2,324||35||2,273|16
Sint Maarten|2,277||27||2,221|29
Liberia|2,114||85||1,962|67
St. Vincent Grenadines|1,932||12||1,769|151
Saint Martin|1,773||12||1,399|362
Caribbean Netherlands|1,591||17||1,558|16
Isle of Man|1,590||29||1,555|6
Laos|1,498||2||513|983
Taiwan|1,290||12||1,107|171
Mauritius|1,277||17||1,130|130
Bhutan|1,276||1||1,121|154
Antigua and Barbuda|1,240||32||1,179|29
St. Barth|974||1||462|511
|712||13||699|0
Faeroe Islands|669||1||663|5
Cayman Islands|565||2||547|16
Tanzania|509||21||183|305
Wallis and Futuna|445||7||44|394
Brunei|232||3||220|9
British Virgin Islands|219||1||193|25
Dominica|178||||176|2
Fiji|166||4||109|53
Grenada|161||1||160|0
New Caledonia|124||||58|66
Anguilla|109||||89|20
Falkland Islands|63||||63|0
Macao|49||||49|0
Saint Kitts and Nevis|45||||44|1
Greenland|31||||31|0
Vatican City|27||||15|12
Saint Pierre Miquelon|25||||25|0
Montserrat|20||1||19|0
Solomon Islands|20||||20|0
Western Sahara|10||1||8|1
|9||2||7|0
Vanuatu|4||1||3|0
Marshall Islands|4||||4|0
Samoa|3||||2|1
Saint Helena|2||||2|0
Micronesia|1||||1|0
